NumberOfSites,Site,SequenceFile,Sequence,StepGroup,StepName,StepId,StepType,SitesTested,LoopIndex,ModuleTime,TotalTime,Status,SocketTime
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Test",ID#:0mewcV7p7xGp7gCALzaHYA,WLANTest,"0",1,0.0038187,0.0046885,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:aV3iwVrp7xGp7gCALzaHYA,NI_Flow_End,,1,0,1.19E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Results Loop",ID#:iYOxjXfu7xGqAwCALzaHYA,NI_Flow_SweepLoop,,1,0,3.1E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Fetch and Bin",ID#:L0oOO8nl7xGp7gCALzaHYA,SpecAnFetch,"0",1,0.0006514,0.0015289,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Fetch and Bin",ID#:pPmB6ibv7xGa+gCALzaHYA,SpecAnFetch,"",1,0,8.5E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Fetch and Bin",ID#:9HDiiiLv7xGa+gCALzaHYA,SpecAnFetch,"0",1,0.0022614,0.0031631,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Fetch and Bin",ID#:1GewcV7p7xGp7gCALzaHYA,WLANFetch,"0",1,0.0147715,0.0156817,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:w0+E5F3p7xGp7gCALzaHYA,NI_Flow_End,,1,0,1.04E-05,Skipped,
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,2,0.1722867,0.172364,Failed,0.1784052
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",2,0.0522864,0.0533012,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",2,0.0307236,0.0313279,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",2,0.000995,0.0017047,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",2,0.0218817,0.0226499,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,2,0,2.23E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",2,0.0053117,0.0063494,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",2,0,1.26E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",2,0.0036071,0.0047467,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"NoiseFloorCAL",ID#:MzpTTgDv7xGa+gCALzaHYA,WLANTest,"0",2,0.0175161,0.0181955,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Test",ID#:0mewcV7p7xGp7gCALzaHYA,WLANTest,"0",2,0.0036292,0.0043805,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:aV3iwVrp7xGp7gCALzaHYA,NI_Flow_End,,2,0,2.42E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Results Loop",ID#:iYOxjXfu7xGqAwCALzaHYA,NI_Flow_SweepLoop,,2,0,8.7E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Fetch and Bin",ID#:L0oOO8nl7xGp7gCALzaHYA,SpecAnFetch,"0",2,0.0007789,0.0019983,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Fetch and Bin",ID#:pPmB6ibv7xGa+gCALzaHYA,SpecAnFetch,"",2,0,1.1E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Fetch and Bin",ID#:9HDiiiLv7xGa+gCALzaHYA,SpecAnFetch,"0",2,0.0023078,0.0033709,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Fetch and Bin",ID#:1GewcV7p7xGp7gCALzaHYA,WLANFetch,"0",2,0.0209552,0.0222095,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:w0+E5F3p7xGp7gCALzaHYA,NI_Flow_End,,2,0,1.42E-05,Skipped,
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,3,0.1675569,0.167621,Failed,0.1733033
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",3,0.0526022,0.0537452,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",3,0.030791,0.0314778,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",3,0.0010362,0.0018204,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",3,0.0216316,0.0221014,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,3,0,6.6E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",3,0.0056152,0.0062629,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",3,0,1.6E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",3,0.0045296,0.0053931,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"NoiseFloorCAL",ID#:MzpTTgDv7xGa+gCALzaHYA,WLANTest,"0",3,0.0167771,0.0173454,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Test",ID#:0mewcV7p7xGp7gCALzaHYA,WLANTest,"0",3,0.003734,0.004668,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:aV3iwVrp7xGp7gCALzaHYA,NI_Flow_End,,3,0,3.88E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Results Loop",ID#:iYOxjXfu7xGqAwCALzaHYA,NI_Flow_SweepLoop,,3,0,9.8E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Fetch and Bin",ID#:L0oOO8nl7xGp7gCALzaHYA,SpecAnFetch,"0",3,0.0007922,0.0017203,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Fetch and Bin",ID#:pPmB6ibv7xGa+gCALzaHYA,SpecAnFetch,"",3,0,9.5E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Fetch and Bin",ID#:9HDiiiLv7xGa+gCALzaHYA,SpecAnFetch,"0",3,0.0020403,0.0028512,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Fetch and Bin",ID#:1GewcV7p7xGp7gCALzaHYA,WLANFetch,"0",3,0.0177637,0.0185316,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:w0+E5F3p7xGp7gCALzaHYA,NI_Flow_End,,3,0,1.04E-05,Skipped,
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,4,0.16501,0.1650866,Failed,0.1714959
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",4,0.0521939,0.0531322,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",4,0.0307883,0.0313741,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",4,0.0010162,0.0017759,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",4,0.0213776,0.0218811,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,4,0,7.5E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",4,0.0038776,0.0045601,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",4,0,6E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",4,0.003697,0.0041914,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"NoiseFloorCAL",ID#:MzpTTgDv7xGa+gCALzaHYA,WLANTest,"0",4,0.0175786,0.0181228,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Test",ID#:0mewcV7p7xGp7gCALzaHYA,WLANTest,"0",4,0.0042403,0.004967,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:aV3iwVrp7xGp7gCALzaHYA,NI_Flow_End,,4,0,3.47E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Results Loop",ID#:iYOxjXfu7xGqAwCALzaHYA,NI_Flow_SweepLoop,,4,0,1.4E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Fetch and Bin",ID#:L0oOO8nl7xGp7gCALzaHYA,SpecAnFetch,"0",4,0.0009718,0.0025334,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Fetch and Bin",ID#:pPmB6ibv7xGa+gCALzaHYA,SpecAnFetch,"",4,0,9.4E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Fetch and Bin",ID#:9HDiiiLv7xGa+gCALzaHYA,SpecAnFetch,"0",4,0.0017278,0.0024283,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Fetch and Bin",ID#:1GewcV7p7xGp7gCALzaHYA,WLANFetch,"0",4,0.0174689,0.0183997,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:w0+E5F3p7xGp7gCALzaHYA,NI_Flow_End,,4,0,1.61E-05,Skipped,
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,5,0.1670794,0.1671465,Failed,0.1729659
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",5,0.0524055,0.0533806,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",5,0.030829,0.0314146,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",5,0.0009535,0.0016495,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",5,0.0216771,0.022137,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,5,0,6.6E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",5,0.0051399,0.0055832,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",5,0,6.2E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",5,0.0047535,0.0052812,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"NoiseFloorCAL",ID#:MzpTTgDv7xGa+gCALzaHYA,WLANTest,"0",5,0.0160188,0.0165286,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Test",ID#:0mewcV7p7xGp7gCALzaHYA,WLANTest,"0",5,0.0037657,0.0044383,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:aV3iwVrp7xGp7gCALzaHYA,NI_Flow_End,,5,0,1.78E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Results Loop",ID#:iYOxjXfu7xGqAwCALzaHYA,NI_Flow_SweepLoop,,5,0,4.3E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Fetch and Bin",ID#:L0oOO8nl7xGp7gCALzaHYA,SpecAnFetch,"0",5,0.0007412,0.0019066,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Fetch and Bin",ID#:pPmB6ibv7xGa+gCALzaHYA,SpecAnFetch,"",5,0,9.4E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Fetch and Bin",ID#:9HDiiiLv7xGa+gCALzaHYA,SpecAnFetch,"0",5,0.0015843,0.0023367,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"WLAN Fetch and Bin",ID#:1GewcV7p7xGp7gCALzaHYA,WLANFetch,"0",5,0.0201215,0.0208961,Passed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"End",ID#:w0+E5F3p7xGp7gCALzaHYA,NI_Flow_End,,5,0,1.15E-05,Skipped,
1,0,,,Main,"MainSequence Callback",ID#:YrKi/zXHdkCNgsobg3W4hA,SequenceCall,,6,0.1664091,0.1664757,Failed,0.1721628
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Continuity",ID#:z0CRLMPk7xGp7gCALzaHYA,NI_SemiconductorTest_ContinuityTest,"0",6,0.05231,0.0532747,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Leakage",ID#:O6/6zA7o7xGp7gCALzaHYA,NI_SemiconductorTest_LeakageTest,"0",6,0.0306761,0.0312576,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"DUT Power Up",ID#:4jaocg/o7xGp7gCALzaHYA,NI_SemiconductorTest_DutPowerUp,"0",6,0.0009534,0.0016146,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Run_IDD",ID#:mS8bog/o7xGp7gCALzaHYA,NI_SemiconductorTest_ForceVoltageMeasureCurrent,"0",6,0.0217599,0.0224138,Failed,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Measure Loop",ID#:Z13iwVrp7xGp7gCALzaHYA,NI_Flow_SweepLoop,,6,0,1.24E-05,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"Tx Gain Test",ID#:s8Ek5Mjl7xGp7gCALzaHYA,SpecAnTest,"0",6,0.0058094,0.0067396,Done,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"P1dB Test",ID#:JjiClCjv7xGa+gCALzaHYA,SpecAnTest,"",6,0,5.7E-06,Skipped,
1,0,C:\AMER-SEBU-NIRD-WIFI7 STS Demo-03487917\RF_Demo_20250205_01\RF_Demo_20250205_01.seq,"MainSequence",Main,"ACP Test",ID#:SYWIIhDv7xGa+gCALzaHYA,SpecAnTest,"0",6,0.0030458,0.0034844,Done,
